iter,f0val,fvirg,area
2.800000000000000000e+01,1.035195772908390808e+02,2.248835710648374953e+00,2.991187869775493624e+01
2.900000000000000000e+01,1.030375091259180209e+02,2.012569619630032669e+00,2.973911426351749654e+01
3.000000000000000000e+01,1.021821816515626722e+02,1.652791859527337426e+00,2.959590199014655454e+01
3.100000000000000000e+01,1.011468665809371998e+02,1.302226887414676293e+00,2.953100079128375555e+01
3.200000000000000000e+01,1.000144996459675468e+02,1.003344246421774555e+00,2.950658016147148643e+01
3.300000000000000000e+01,9.883311730972587839e+01,7.643842518605864500e-01,2.946711606172340936e+01
3.400000000000000000e+01,9.753443744696375006e+01,5.668181453263201330e-01,2.920786637184209411e+01
3.500000000000000000e+01,9.658656935419564604e+01,4.556768184983518988e-01,2.922322587587724740e+01
3.600000000000000000e+01,9.589933921541496886e+01,3.889859557829851711e-01,2.947880166956513648e+01
3.700000000000000000e+01,9.546223256432784865e+01,3.517412125865796990e-01,2.968499514980412712e+01
3.800000000000000000e+01,9.518478148986474707e+01,3.299728053014940876e-01,2.982387726515928250e+01
3.900000000000000000e+01,9.506849683867737610e+01,3.212548432790131581e-01,2.991565164420344303e+01
4.000000000000000000e+01,9.500448529793604280e+01,3.165545278089461068e-01,2.994302324535654947e+01
4.100000000000000000e+01,9.495812524263487830e+01,3.131933443077249968e-01,2.995673574372399628e+01
4.200000000000000000e+01,9.492037610458925201e+01,3.104828458611026409e-01,2.996461215129329148e+01
4.300000000000000000e+01,9.488929868130522038e+01,3.082690103083514654e-01,2.997652572174983732e+01
4.400000000000000000e+01,9.486148032147484344e+01,3.063007302079864824e-01,2.997778173378549837e+01
4.500000000000000000e+01,9.483093433878021017e+01,3.041539310401246143e-01,2.997673782739853721e+01
4.600000000000000000e+01,9.479512733405684344e+01,3.016565316806925079e-01,2.997070829442759532e+01
4.700000000000000000e+01,9.476732467272017857e+01,2.997315553215505468e-01,2.997964021531920409e+01
4.800000000000000000e+01,9.474939880676311077e+01,2.984969381427236557e-01,2.998535759535596412e+01
4.900000000000000000e+01,9.473659861196760801e+01,2.976184572989064581e-01,2.998867669091982435e+01
5.000000000000000000e+01,9.472664671602413478e+01,2.969372428099507077e-01,2.999070385480468914e+01
5.100000000000000000e+01,9.471847743415402476e+01,2.963792150022268035e-01,2.999235776975238821e+01
5.200000000000000000e+01,9.471191705257247406e+01,2.959318473741342492e-01,2.999406304607737894e+01
5.300000000000000000e+01,9.470630202617110172e+01,2.955494820717289861e-01,2.999481829489628737e+01
5.400000000000000000e+01,9.470133576817714527e+01,2.952117075566177973e-01,2.999560575152594311e+01
5.500000000000000000e+01,9.469829678180583699e+01,2.950052046934694694e-01,2.999713713733086351e+01
5.600000000000000000e+01,9.469574896246000151e+01,2.948321885556945965e-01,2.999638197113559812e+01
5.700000000000000000e+01,9.469323957993265140e+01,2.946618817546068914e-01,2.999416417255520528e+01
5.800000000000000000e+01,9.468959206693867259e+01,2.944145077090864482e-01,2.998966470494943692e+01
5.900000000000000000e+01,9.468322523320956918e+01,2.939832070707252276e-01,2.999013278992899245e+01
6.000000000000000000e+01,9.467715239043822351e+01,2.935724106580178128e-01,2.999457924280694954e+01
6.100000000000000000e+01,9.467267063367785340e+01,2.932696111665702987e-01,2.999584211394408229e+01
6.200000000000000000e+01,9.466836292281129772e+01,2.929788650450264598e-01,2.999553325354114008e+01
6.300000000000000000e+01,9.466277381743624630e+01,2.926020616098731209e-01,2.999428809884099323e+01
6.400000000000000000e+01,9.465560828871464594e+01,2.921196885060574622e-01,2.999325178039667961e+01
6.500000000000000000e+01,9.464642723484739406e+01,2.915027951665746242e-01,2.999037452074950139e+01
6.600000000000000000e+01,9.463787353390219437e+01,2.909292272377089761e-01,2.998969763519073695e+01
6.700000000000000000e+01,9.463026344177808369e+01,2.904198816982648257e-01,2.998866055959328492e+01
6.800000000000000000e+01,9.462533050454034367e+01,2.900901953233206432e-01,2.999672883237509780e+01
6.900000000000000000e+01,9.462293879736864710e+01,2.899304834642097428e-01,2.999689504578366694e+01
7.000000000000000000e+01,9.462088893061948625e+01,2.897936687807598499e-01,2.999704636938039926e+01
7.100000000000000000e+01,9.461929777289502397e+01,2.896875143177422562e-01,2.999796775547531880e+01
7.200000000000000000e+01,9.461858580618957149e+01,2.896400278842443110e-01,2.999956585836378764e+01
7.300000000000000000e+01,9.461830690319162329e+01,2.896214278601493830e-01,2.999969579119292007e+01
7.400000000000000000e+01,9.461809493355976031e+01,2.896072924170697283e-01,2.999978928676790702e+01
7.500000000000000000e+01,9.461793909526112145e+01,2.895969005977220845e-01,2.999983728794722282e+01
7.600000000000000000e+01,9.461778732186483865e+01,2.895867801980901435e-01,2.999983219824829916e+01
7.700000000000000000e+01,9.461761285367104790e+01,2.895751469239485343e-01,2.999980868339698858e+01
7.800000000000000000e+01,9.461739810941801920e+01,2.895608287449646379e-01,2.999976720509276973e+01
7.900000000000000000e+01,9.461712816693606953e+01,2.895428312011619765e-01,2.999970486082529320e+01
8.000000000000000000e+01,9.461674927654617306e+01,2.895175717941395055e-01,2.999960221322563569e+01
8.100000000000000000e+01,9.461619947843219336e+01,2.894809224360464506e-01,2.999943043182140556e+01
8.200000000000000000e+01,9.461544820922593146e+01,2.894308505832767220e-01,2.999922444626735896e+01
8.300000000000000000e+01,9.461457030046122441e+01,2.893723492182366241e-01,2.999903879752685754e+01
8.400000000000000000e+01,9.461371620923837611e+01,2.893154463348298067e-01,2.999921981991660047e+01
8.500000000000000000e+01,9.461308836715437565e+01,2.892736241862280955e-01,2.999937022258398756e+01
8.600000000000000000e+01,9.461257699617289063e+01,2.892395649396443669e-01,2.999945955672736631e+01
8.700000000000000000e+01,9.461210365618269691e+01,2.892080422752005830e-01,2.999950685470046352e+01
8.800000000000000000e+01,9.461169913058030545e+01,2.891811051129934418e-01,2.999954895049912906e+01
8.900000000000000000e+01,9.461132176659089055e+01,2.891559788912470563e-01,2.999959534571003417e+01
9.000000000000000000e+01,9.461100946588723559e+01,2.891351864629177482e-01,2.999970405634419990e+01
9.100000000000000000e+01,9.461067606773093530e+01,2.891129910535574221e-01,2.999964418559827450e+01
9.200000000000000000e+01,9.461021803647884099e+01,2.890825011882634521e-01,2.999953306923627849e+01
9.300000000000000000e+01,9.460971989323363118e+01,2.890493448294308987e-01,2.999948315653867681e+01
9.400000000000000000e+01,9.460927655989438279e+01,2.890198398100948807e-01,2.999953460877604527e+01
9.500000000000000000e+01,9.460887658958053237e+01,2.889932233003617013e-01,2.999956618329224867e+01
9.600000000000000000e+01,9.460850968373675585e+01,2.889688092615083082e-01,2.999966750913216629e+01
9.700000000000000000e+01,9.460823474363613172e+01,2.889505160061239253e-01,2.999969132270356909e+01
9.800000000000000000e+01,9.460798956137445259e+01,2.889342036779192213e-01,2.999973353458577208e+01
9.900000000000000000e+01,9.460777233236555617e+01,2.889197518891833405e-01,2.999979740417423812e+01
1.000000000000000000e+02,9.460758599669881619e+01,2.889073559454322093e-01,2.999979493552779175e+01
1.010000000000000000e+02,9.460739806122097662e+01,2.888948541132710379e-01,2.999979384571033236e+01
