orig,opt
 (5.781120422542205688e+02+0.000000000000000000e+00j), (2.234267268718677713e+01+0.000000000000000000e+00j)
 (6.585475983250832996e+02+0.000000000000000000e+00j), (2.335140601817483130e+01+0.000000000000000000e+00j)
 (7.549945813212287931e+02+0.000000000000000000e+00j), (2.449586057229637959e+01+0.000000000000000000e+00j)
 (8.719237046990191402e+02+0.000000000000000000e+00j), (2.545710745810625397e+01+0.000000000000000000e+00j)
 (1.015466754890730726e+03+0.000000000000000000e+00j), (2.656174848328419458e+01+0.000000000000000000e+00j)
 (1.194211705216777091e+03+0.000000000000000000e+00j), (2.770443094492655334e+01+0.000000000000000000e+00j)
 (1.420478438431897985e+03+0.000000000000000000e+00j), (2.888509549636538054e+01+0.000000000000000000e+00j)
 (1.712437392445267733e+03+0.000000000000000000e+00j), (3.010484282702493886e+01+0.000000000000000000e+00j)
 (2.097771861567782707e+03+0.000000000000000000e+00j), (3.136497675137990626e+01+0.000000000000000000e+00j)
 (2.620314110343017092e+03+0.000000000000000000e+00j), (3.266689958511879155e+01+0.000000000000000000e+00j)
 (3.352766466343457523e+03+0.000000000000000000e+00j), (3.401209331273276604e+01+0.000000000000000000e+00j)
 (4.422817321896376598e+03+0.000000000000000000e+00j), (3.540211701377183573e+01+0.000000000000000000e+00j)
 (6.071540951564102215e+03+0.000000000000000000e+00j), (3.683860871909104162e+01+0.000000000000000000e+00j)
 (8.799165032769466052e+03+0.000000000000000000e+00j), (3.832328888903304431e+01+0.000000000000000000e+00j)
 (1.378673980278388808e+04+0.000000000000000000e+00j), (3.985796469448671786e+01+0.000000000000000000e+00j)
 (2.440187868582883675e+04+0.000000000000000000e+00j), (4.144453483237387559e+01+0.000000000000000000e+00j)
 (5.370093247230247653e+04+0.000000000000000000e+00j), (4.308499478646181302e+01+0.000000000000000000e+00j)
 (1.959919673680753331e+05+0.000000000000000000e+00j), (4.478144251212197702e+01+0.000000000000000000e+00j)
 (1.314260882215065137e+07+0.000000000000000000e+00j), (4.653608455275683298e+01+0.000000000000000000e+00j)
 (3.122174851779973251e+05+0.000000000000000000e+00j), (4.835124261004990132e+01+0.000000000000000000e+00j)
 (7.069257029649907781e+04+0.000000000000000000e+00j), (5.022936059811663512e+01+0.000000000000000000e+00j)
 (3.070421974037849577e+04+0.000000000000000000e+00j), (5.217301221859567306e+01+0.000000000000000000e+00j)
 (1.720129089882500921e+04+0.000000000000000000e+00j), (5.418490909922521581e+01+0.000000000000000000e+00j)
 (1.104910427345275275e+04+0.000000000000000000e+00j), (5.626790954243456611e+01+0.000000000000000000e+00j)
 (7.731901793403721058e+03+0.000000000000000000e+00j), (5.842502793792147742e+01+0.000000000000000000e+00j)
 (5.738132753478645100e+03+0.000000000000000000e+00j), (6.065944489719413468e+01+0.000000000000000000e+00j)
 (4.445193280566669273e+03+0.000000000000000000e+00j), (6.297451817678512498e+01+0.000000000000000000e+00j)
 (3.558197786006134265e+03+0.000000000000000000e+00j), (6.537379446343013001e+01+0.000000000000000000e+00j)
 (2.922824905751193455e+03+0.000000000000000000e+00j), (6.786102210479162977e+01+0.000000000000000000e+00j)
 (2.451816425898537091e+03+0.000000000000000000e+00j), (7.044016488033092571e+01+0.000000000000000000e+00j)
 (2.092794969982652674e+03+0.000000000000000000e+00j), (7.311541692094728262e+01+0.000000000000000000e+00j)
 (1.812764862054916648e+03+0.000000000000000000e+00j), (7.589121890438985929e+01+0.000000000000000000e+00j)
 (1.590088497500424864e+03+0.000000000000000000e+00j), (7.877227567691528520e+01+0.000000000000000000e+00j)
 (1.410091126660876398e+03+0.000000000000000000e+00j), (8.176357548415445820e+01+0.000000000000000000e+00j)
 (1.262530949146109833e+03+0.000000000000000000e+00j), (8.487041104302906547e+01+0.000000000000000000e+00j)
 (1.140081203268963918e+03+0.000000000000000000e+00j), (8.809840275381966990e+01+0.000000000000000000e+00j)
 (1.037386436484202932e+03+0.000000000000000000e+00j), (9.145352446646165845e+01+0.000000000000000000e+00j)
 (9.504573417301569407e+02+0.000000000000000000e+00j), (9.494213239693789319e+01+0.000000000000000000e+00j)
 (8.762720368372578150e+02+0.000000000000000000e+00j), (9.857099810994193945e+01+0.000000000000000000e+00j)
 (8.125069898502499655e+02+0.000000000000000000e+00j), (1.023473470698251617e+02+0.000000000000000000e+00j)
 (7.573515171187120814e+02+0.000000000000000000e+00j), (1.062789053799380383e+02+0.000000000000000000e+00j)
 (7.093774257301888611e+02+0.000000000000000000e+00j), (1.103739596226457422e+02+0.000000000000000000e+00j)
 (6.674458125958267374e+02+0.000000000000000000e+00j), (1.146414396598769514e+02+0.000000000000000000e+00j)
 (6.306393785757552450e+02+0.000000000000000000e+00j), (1.190910457915882432e+02+0.000000000000000000e+00j)
 (5.982125672255980362e+02+0.000000000000000000e+00j), (1.237334709145552267e+02+0.000000000000000000e+00j)
 (5.695543525504051559e+02+0.000000000000000000e+00j), (1.285808506383318104e+02+0.000000000000000000e+00j)
 (5.441601328704759908e+02+0.000000000000000000e+00j), (1.336478386408756762e+02+0.000000000000000000e+00j)
