iter,f0val,fvirg,area
5.700000000000000000e+01,9.424980200725734392e+01,2.660603761402029477e-01,2.999454621937905330e+01
5.800000000000000000e+01,9.424416446030738825e+01,2.657152290516419102e-01,2.999432559959913647e+01
5.900000000000000000e+01,9.423824277641971037e+01,2.653531684203911389e-01,2.999473704279914088e+01
6.000000000000000000e+01,9.423253355336781567e+01,2.650045650777343442e-01,2.999450453079947110e+01
6.100000000000000000e+01,9.422797200525876349e+01,2.647263675628413471e-01,2.999572221226345192e+01
6.200000000000000000e+01,9.422385527313767284e+01,2.644755489989286668e-01,2.999581196861426236e+01
6.300000000000000000e+01,9.421974599076538937e+01,2.642254213199023982e-01,2.999620951910965516e+01
6.400000000000000000e+01,9.421554427620883132e+01,2.639699119892479073e-01,2.999578581653704745e+01
6.500000000000000000e+01,9.421096339016203558e+01,2.636916264876293936e-01,2.999582392733921665e+01
6.600000000000000000e+01,9.420633157910901900e+01,2.634105456154177682e-01,2.999518002455478438e+01
6.700000000000000000e+01,9.420102818611968587e+01,2.630890777887454623e-01,2.999508663619762672e+01
6.800000000000000000e+01,9.419598584880304770e+01,2.627837978189200285e-01,2.999492249587392578e+01
6.900000000000000000e+01,9.419153905291841511e+01,2.625148678833466032e-01,2.999558077874932138e+01
7.000000000000000000e+01,9.418715177928268645e+01,2.622498074088284725e-01,2.999587344983265425e+01
7.100000000000000000e+01,9.418244388263467215e+01,2.619656739269881074e-01,2.999566932868147973e+01
7.200000000000000000e+01,9.417862202876939648e+01,2.617352417751700466e-01,2.999622651718623700e+01
7.300000000000000000e+01,9.417551906682220419e+01,2.615483030819710231e-01,2.999691173451263282e+01
7.400000000000000000e+01,9.417251214043275809e+01,2.613672774575059310e-01,2.999712238080681104e+01
7.500000000000000000e+01,9.416848602581401906e+01,2.611250899447040141e-01,2.999636527348387105e+01
7.600000000000000000e+01,9.416334428547970958e+01,2.608161191926552935e-01,2.999441645494653130e+01
7.700000000000000000e+01,9.415784677374614375e+01,2.604861742806378611e-01,2.999439552955650612e+01
7.800000000000000000e+01,9.415292614626477530e+01,2.601912063198894010e-01,2.999484279070522419e+01
7.900000000000000000e+01,9.414849530067242256e+01,2.599258842384051804e-01,2.999546747326292007e+01
8.000000000000000000e+01,9.414521091876207493e+01,2.597293878097259312e-01,2.999656919085704843e+01
8.100000000000000000e+01,9.414160262853086181e+01,2.595136839873329881e-01,2.999530853102406169e+01
8.200000000000000000e+01,9.413858709278456161e+01,2.593335524877630194e-01,2.999654424786816165e+01
8.300000000000000000e+01,9.413636322498743425e+01,2.592007909801926635e-01,2.999754929554021032e+01
8.400000000000000000e+01,9.413443949807300726e+01,2.590860022505659388e-01,2.999815019450529263e+01
8.500000000000000000e+01,9.413205815145326483e+01,2.589439777761188832e-01,2.999783683566993986e+01
8.600000000000000000e+01,9.412792415336663510e+01,2.586976093258814835e-01,2.999583540887061872e+01
8.700000000000000000e+01,9.412168550340334150e+01,2.583262564189496846e-01,2.999407900436247232e+01
8.800000000000000000e+01,9.411589790618644713e+01,2.579822288944318975e-01,2.999448072588351977e+01
8.900000000000000000e+01,9.411140629913276712e+01,2.577155536673939595e-01,2.999535771124605077e+01
