orig,opt
 (2.724650093926928029e+00+0.000000000000000000e+00j), (1.042106285608106120e+01+0.000000000000000000e+00j)
 (2.995134714067470671e+00+0.000000000000000000e+00j), (1.303566889013594654e+01+0.000000000000000000e+00j)
 (3.298488077505952631e+00+0.000000000000000000e+00j), (1.666115391923921152e+01+0.000000000000000000e+00j)
 (3.640140174880751367e+00+0.000000000000000000e+00j), (2.188113556654990077e+01+0.000000000000000000e+00j)
 (4.026684635162727233e+00+0.000000000000000000e+00j), (2.976546023587848211e+01+0.000000000000000000e+00j)
 (4.466188677673063268e+00+0.000000000000000000e+00j), (4.244843905419473629e+01+0.000000000000000000e+00j)
 (4.968603378758364997e+00+0.000000000000000000e+00j), (6.469937389558143082e+01+0.000000000000000000e+00j)
 (5.546313029403753703e+00+0.000000000000000000e+00j), (1.090367467483572455e+02+0.000000000000000000e+00j)
 (6.214880038249360084e+00+0.000000000000000000e+00j), (2.176259068506459471e+02+0.000000000000000000e+00j)
 (6.994068929281594293e+00+0.000000000000000000e+00j), (6.139847651775286295e+02+0.000000000000000000e+00j)
 (7.909275314904642862e+00+0.000000000000000000e+00j), (5.505386414633489949e+03+0.000000000000000000e+00j)
 (8.993553266041896421e+00+0.000000000000000000e+00j), (5.863847074489568513e+03+0.000000000000000000e+00j)
 (1.029054478699545605e+01+0.000000000000000000e+00j), (6.585734237058984490e+02+0.000000000000000000e+00j)
 (1.185879985743477150e+01+0.000000000000000000e+00j), (2.407368082668643012e+02+0.000000000000000000e+00j)
 (1.377829395850059235e+01+0.000000000000000000e+00j), (1.248380121898413506e+02+0.000000000000000000e+00j)
 (1.616051671551622348e+01+0.000000000000000000e+00j), (7.677303051007045553e+01+0.000000000000000000e+00j)
 (1.916455080009383494e+01+0.000000000000000000e+00j), (5.224619979707502893e+01+0.000000000000000000e+00j)
 (2.302356976662526122e+01+0.000000000000000000e+00j), (3.802457044614971693e+01+0.000000000000000000e+00j)
 (2.809023222639872230e+01+0.000000000000000000e+00j), (2.902927901263731769e+01+0.000000000000000000e+00j)
 (3.491806602550703076e+01+0.000000000000000000e+00j), (2.296937838175556834e+01+0.000000000000000000e+00j)
 (4.441549458361664193e+01+0.000000000000000000e+00j), (1.868713663246543888e+01+0.000000000000000000e+00j)
 (5.815712203679778725e+01+0.000000000000000000e+00j), (1.554621688200614393e+01+0.000000000000000000e+00j)
 (7.906618720619219687e+01+0.000000000000000000e+00j), (1.317540423894335433e+01+0.000000000000000000e+00j)
 (1.130746247895154539e+02+0.000000000000000000e+00j), (1.136921426843928096e+01+0.000000000000000000e+00j)
